Member Name,Summary
"M:AlibreScript.API.Part.RemoveSketch(System.String)","Removes a sketch from the part"
"M:AlibreScript.API.Part.RemoveSketch(AlibreScript.API.Sketch)","Removes a sketch from the part"
"M:AlibreScript.API.Part.Add3DSketch(System.String)","Creates a new 3D sketch"
"M:AlibreScript.API.Part.AddGear(System.String,System.Double,System.Int32,System.Double,System.Double,System.Boolean,System.Double,System.Double,System.Int32,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part"
"M:AlibreScript.API.Part.AddGearNP(System.String,System.Int32,System.Double,System.Double,System.Double,System.Double,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using number of teeth and pitch diameter"
"M:AlibreScript.API.Part.AddGearNP(System.String,System.Int32,System.Double,System.Double,System.Double,System.Double,System.Boolean,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using number of teeth and pitch diameter"
"M:AlibreScript.API.Part.AddGearDP(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using diametral pitch and pitch diameter"
"M:AlibreScript.API.Part.AddGearDP(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using diametral pitch and pitch diameter"
"M:AlibreScript.API.Part.AddGearDN(System.String,System.Double,System.Int32,System.Double,System.Double,System.Double,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using diametral pitch and number of teeth"
"M:AlibreScript.API.Part.AddGearDN(System.String,System.Double,System.Int32,System.Double,System.Double,System.Double,System.Boolean,AlibreScript.API.ISketchSurface)","Adds a gear sketch to the part using diametral pitch and number of teeth"
"M:AlibreScript.API.Part.AddAxis(System.String,AlibreScript.API.ISketchSurface,AlibreScript.API.ISketchSurface)","Creates an axis based on the intersection of two planes/faces"
"M:AlibreScript.API.Part.AddAxis(System.String,AlibreScript.API.Point,AlibreScript.API.Point)","Creates an axis based on two points"
"M:AlibreScript.API.Part.AddAxis(System.String,AlibreScript.API.Face)","Creates an axis for a cylindrical face"
"M:AlibreScript.API.Part.AddAxis(System.String,IronPython.Runtime.List,IronPython.Runtime.List)","Creates an axis based on two points"
"M:AlibreScript.API.Part.AddPoint(System.String,IronPython.Runtime.List)","Adds a point to the part"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.Point)","Adds a point to the part"
"M:AlibreScript.API.Part.AddPoint(System.String,System.Double,System.Double,System.Double)","Adds a point to the part"
"M:AlibreScript.API.Part.AddPoints(System.String,IronPython.Runtime.List)","Adds a set of points to the part"
"M:AlibreScript.API.Part.Regenerate","Regenerates the part"
"M:AlibreScript.API.Part.AddExtrudeBoss(System.String,AlibreScript.API.Sketch,System.Double,System.Boolean)","Adds a simple extrude boss to a specific depth"
"M:AlibreScript.API.Part.AddExtrudeBoss(System.String,AlibreScript.API.Sketch,System.Double,System.Boolean,AlibreScript.API.Part.EndCondition,AlibreScript.API.ISketchSurface,System.Double,AlibreScript.API.Part.DirectionType,AlibreScript.API.ISweepPath,System.Double,System.Boolean)","Adds an extrude feature"
"M:AlibreScript.API.Part.AddExtrudeCut(System.String,AlibreScript.API.Sketch,System.Double,System.Boolean)","Adds a simple extrude cut to a specific depth"
"M:AlibreScript.API.Part.AddExtrudeCut(System.String,AlibreScript.API.Sketch,System.Double,System.Boolean,AlibreScript.API.Part.EndCondition,AlibreScript.API.ISketchSurface,System.Double,AlibreScript.API.Part.DirectionType,AlibreScript.API.ISweepPath,System.Double,System.Boolean)","Adds an extrude cut feature"
"M:AlibreScript.API.Part.AddRevolveBoss(System.String,AlibreScript.API.Sketch,AlibreScript.API.Axis,System.Double)","Creates a revolve boss feature"
"M:AlibreScript.API.Part.AddRevolveCut(System.String,AlibreScript.API.Sketch,AlibreScript.API.Axis,System.Double)","Creates a revolve cut feature"
"M:AlibreScript.API.Part.AddLoftBoss(System.String,IronPython.Runtime.List,System.Boolean,System.Boolean,System.Boolean,System.Boolean)","Adds a loft extrusion"
"M:AlibreScript.API.Part.AddLoftBoss(System.String,IronPython.Runtime.List,IronPython.Runtime.List,AlibreScript.API.GuideCurveTypes,System.Boolean,System.Boolean,System.Boolean,System.Boolean)","Adds a loft extrusion using guide curves"
"M:AlibreScript.API.Part.AddLoftCut(System.String,IronPython.Runtime.List,System.Boolean,System.Boolean,System.Boolean,System.Boolean)","Adds a loft cut"
"M:AlibreScript.API.Part.AddLoftCut(System.String,IronPython.Runtime.List,IronPython.Runtime.List,AlibreScript.API.GuideCurveTypes,System.Boolean,System.Boolean,System.Boolean,System.Boolean)","Adds a loft cut using guide curves"
"M:AlibreScript.API.Part.AddSweepBoss(System.String,AlibreScript.API.Sketch,AlibreScript.API.ISweepPath,System.Boolean,AlibreScript.API.Part.EndCondition,AlibreScript.API.ISketchSurface,System.Double,System.Double,System.Boolean)","Adds a sweep extrude feature"
"M:AlibreScript.API.Part.AddSweepCut(System.String,AlibreScript.API.Sketch,AlibreScript.API.ISweepPath,System.Boolean,AlibreScript.API.Part.EndCondition,AlibreScript.API.ISketchSurface,System.Double,System.Double,System.Boolean)","Adds a sweep extrude cut feature"
"M:AlibreScript.API.Part.AddFillet(System.String,AlibreScript.API.IFilletable,System.Double,System.Boolean)","Adds a constant radius fillet to a face or edge"
"M:AlibreScript.API.Part.AddFillet(System.String,IronPython.Runtime.List,System.Double,System.Boolean)","Adds a constant radius fillet to a set of faces and edges"
"M:AlibreScript.API.Part.AddFillet(System.String,IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Adds a variable radius fillet to a set of faces and edges"
"M:AlibreScript.API.Part.Scale(System.String,System.Boolean,System.Double)","Uniform scaling of the part"
"M:AlibreScript.API.Part.NonUniformScale(System.String,System.Boolean,System.Double,System.Double,System.Double)","Non-uniform scaling of the part"
"M:AlibreScript.API.Part.AddChamfer(System.String,AlibreScript.API.IChamferable,System.Double,System.Double,System.Boolean)","Adds a chamfer to a face or edge"
"M:AlibreScript.API.Part.AddChamfer(System.String,IronPython.Runtime.List,System.Double,System.Double,System.Boolean)","Adds a chamfer to a set of faces and edges"
"M:AlibreScript.API.Part.AddChamfer(System.String,AlibreScript.API.IChamferable,System.Double,System.Boolean)","Adds a chamfer to a face or edge"
"M:AlibreScript.API.Part.GetEdges","Gets a python list of the current edges in the part"
"M:AlibreScript.API.Part.GetFaces","Gets a python list of the current faces in the part"
"M:AlibreScript.API.Part.GetVertices","Gets a python list of the current vertices in the part"
"M:AlibreScript.API.Part.GetBoundingBox","Gets the bounding box for the part as eight points"
"M:AlibreScript.API.Part.AddChamfer(System.String,IronPython.Runtime.List,System.Double,System.Boolean)","Adds a chamfer to a set of faces and edges"
"M:AlibreScript.API.Part.AddChamferAngle(System.String,AlibreScript.API.IChamferable,System.Double,System.Double,System.Boolean)","Adds a chamfer to a face or edge"
"M:AlibreScript.API.Part.AddChamferAngle(System.String,IronPython.Runtime.List,System.Double,System.Double,System.Boolean)","Adds a chamfer to a set of faces and edges"
"M:AlibreScript.API.Part.AddVertexChamfer(System.String,AlibreScript.API.Vertex,System.Double,System.Double,System.Double)","Adds a chamfer to a vertex"
"M:AlibreScript.API.Part.AddVertexChamfer(System.String,IronPython.Runtime.List,System.Double,System.Double,System.Double)","Adds a chamfer to a set of vertices"
"M:AlibreScript.API.Part.Save","Saves the part using the current path and file name"
"M:AlibreScript.API.Part.Save(System.String)","Saves the part to a specific folder"
"M:AlibreScript.API.Part.SaveAs(System.String,System.String)","Saves the part to a specific folder with a new name"
"M:AlibreScript.API.Part.Close","Closes the part If it is unsaved then changes will be lost"
"M:AlibreScript.API.Part.ExportSTL(System.String)","Exports the part as an STL file"
"M:AlibreScript.API.Part.ExportRotatedSTL(System.String,AlibreScript.API.Face,System.Boolean,System.Boolean,System.Double,System.Double,System.Double)","Exports the part as an STL rotated so that a specific face is on the bottom"
"M:AlibreScript.API.Part.DisplayUnits","Gets the display units for the part"
"M:AlibreScript.API.Part.ExportSTEP203(System.String)","Exports the part as a STEP 203 file"
"M:AlibreScript.API.Part.ExportSTEP214(System.String)","Exports the part as a STEP 214 file"
"M:AlibreScript.API.Part.ExportIGES(System.String)","Exports the part as a IGES file"
"M:AlibreScript.API.Part.ExportSAT(System.String,System.Int32,System.Boolean)","Exports the part as a SAT file"
"M:AlibreScript.API.Part.ExportBIP(System.String)","Exports a keyshot file"
"M:AlibreScript.API.Part.SetColor(System.Byte,System.Byte,System.Byte)","Sets the color of the part"
"M:AlibreScript.API.Part.SaveSnapshot(System.String,System.Int32,System.Int32,System.Boolean,System.Boolean)","Saves the current view as a bitmap image"
"M:AlibreScript.API.Part.SaveThumbnail(System.String,System.Int32,System.Int32)","Saves a thumbnail image of the part"
"M:AlibreScript.API.Part.Select(AlibreScript.API.ISelectableGeometry)","Selects a face, edge, vertex, point, axis, plane, sketch"
"M:AlibreScript.API.Part.Select(IronPython.Runtime.List)","Selects a group of faces, edges, vertices, points, axes, planes and sketches"
"M:AlibreScript.API.Part.SetUserData(System.String,IronPython.Runtime.PythonDictionary)","Sets user data"
"M:AlibreScript.API.Part.GetUserData(System.String)","Gets user data"
"M:AlibreScript.API.Part.PauseUpdating","Pauses updating the part user interface"
"M:AlibreScript.API.Part.ResumeUpdating","Resumes updating the part user interface"
"M:AlibreScript.API.Part.GetSelectionAssembly","The assembly that the part was selected on Only valid when a selection has been made"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IPoint,System.Double,System.Double,System.Double)","Add a point at an offset to a point or a vertex"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPoint,System.Double)","Add a point between two points/vertices"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IAxis)","Add a point at the intersection or two axes or edges"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IPlane,AlibreScript.API.IPlane,AlibreScript.API.IPlane)","Add a point at the intersection of three planes or faces"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IPlane)","Add a point at the the intersection of a axis or edge and a plane or face"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPlane,System.Double,System.Double)","Add a point by projecting a point or vertex onto a plane or face"
"M:AlibreScript.API.Part.AddPoint(System.String,AlibreScript.API.Edge,System.Double)","Add a point on an edge"
"M:AlibreScript.API.Part.AddPointFromCircularEdge(System.String,AlibreScript.API.Edge)","Adds a point at the center of a circular edge"
"M:AlibreScript.API.Part.AddPointFromToroidalFace(System.String,AlibreScript.API.Face)","Adds a point at the center of a toroidal face"
"M:AlibreScript.API.Part.IsOpen","Checks if the part is opened"
"M:AlibreScript.API.Part.GetFeature(System.String)","Gets a feature on the part"
"M:AlibreScript.API.Part.RemoveFeature(System.String)","Removes a feature from the part"
"M:AlibreScript.API.Part.RemoveFeature(AlibreScript.API.Feature)","Removes a feature from the part"
"M:AlibreScript.API.Part.SuppressFeature(System.String)","Suppresses a feature on the part"
"M:AlibreScript.API.Part.SuppressFeature(AlibreScript.API.Feature)","Suppresses a feature on the part"
"M:AlibreScript.API.Part.UnsuppressFeature(System.String)","Unsuppresses a feature on the part"
"M:AlibreScript.API.Part.UnsuppressFeature(AlibreScript.API.Feature)","Unsuppresses a feature on the part"
"M:AlibreScript.API.Part.HideFeature(System.String)","Hides a feature on the part"
"M:AlibreScript.API.Part.HideFeature(AlibreScript.API.Feature)","Hides a feature on the part"
"M:AlibreScript.API.Part.ShowFeature(System.String)","Shows a feature on the part"
"M:AlibreScript.API.Part.ShowFeature(AlibreScript.API.Feature)","Shows a feature on the part"
"M:AlibreScript.API.Part.GetPlane(System.String)","Gets a plane using the name of the plane"
"M:AlibreScript.API.Part.GetAxis(System.String)","Gets an axis from an axis name"
"M:AlibreScript.API.Part.GetPoint(System.String)","Gets a point on the part using the point name. The point must have been created in a script"
"M:AlibreScript.API.Part.GetSketch(System.String)","Gets a sketch using the name of the sketch"
"M:AlibreScript.API.Part.Get3DSketch(System.String)","Gets a sketch using the name of the sketch"
"M:AlibreScript.API.Part.GetFace(System.String)","Gets a face using it's name "Face<n>""
"M:AlibreScript.API.Part.GetEdge(System.String)","Gets an edge using it's name "Edge<n>""
"M:AlibreScript.API.Part.GetVertex(System.String)","Gets a vertex using it's name "Vertex<n>""
"M:AlibreScript.API.Part.GetParameter(System.String)","Gets a parameter with a specific name"
"M:AlibreScript.API.Part.GetCustomProperty(System.String)","Gets the value of a custonm property"
"M:AlibreScript.API.Part.SetCustomProperty(System.String,System.String)","Sets the value of a custom property The custom property must already be defined on the part or defined on the user's PC"
"M:AlibreScript.API.Part.GetConfiguration(System.String)","Gets a configuration with a specific name"
"M:AlibreScript.API.Part.GetActiveConfiguration","Gets the currently active configuration"
"M:AlibreScript.API.Part.AddPlane(System.String,AlibreScript.API.ISketchSurface,System.Double)","Creates a plane based on the offset from an existing plane"
"M:AlibreScript.API.Part.AddPlane(System.String,IronPython.Runtime.List,IronPython.Runtime.List)","Adds a plane using a normal vector and a point on the plane"
"M:AlibreScript.API.Part.AddPlane(System.String,AlibreScript.API.Axis,AlibreScript.API.Point)","Creates a new plane contaning an axis and a point"
"M:AlibreScript.API.Part.AddPlane(System.String,AlibreScript.API.ISketchSurface,AlibreScript.API.Axis,System.Double)","Creates a new plane at an angle to an existing plane"
"M:AlibreScript.API.Part.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.Double)","Adds a cm/mm/in/deg parameter to the part"
"M:AlibreScript.API.Part.AddParameter(System.String,AlibreScript.API.ParameterTypes,AlibreScript.API.ParameterUnits,System.Double)","Adds a parameter to the part with specific units"
"M:AlibreScript.API.Part.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.String)","Adds a parameter to the part"
"M:AlibreScript.API.Part.AddConfiguration(System.String)","Adds a configuration to the part"
"M:AlibreScript.API.Part.AddConfiguration(System.String,System.String)","Adds a configuration to the part using another configuration as a base"
"M:AlibreScript.API.Part.AddPlane(System.String,IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List)","Creates a plane using three points. Each point is defined as list of [x, y, z]"
"M:AlibreScript.API.Part.AddSketch(System.String,AlibreScript.API.ISketchSurface)","Creates a new sketch using a plane/face"
"P:AlibreScript.API.AssembledPart.Name","Name of the assembled part"
"P:AlibreScript.API.AssembledPart.Configurations","List of configurations defined on the part"
"P:AlibreScript.API.Part.Parameters","List of parameters defined on the part"
"P:AlibreScript.API.Part.Density","Density of the part"
"P:AlibreScript.API.Part.Material","Material of the part"
"P:AlibreScript.API.Part.Description","Description of the part"
"P:AlibreScript.API.Part.Number","User-defined number for the part"
"P:AlibreScript.API.Part.Mass","Mass of the part"
"P:AlibreScript.API.Part.Comment","Comment property"
"P:AlibreScript.API.Part.CostCenter","Cost center property"
"P:AlibreScript.API.Part.CreatedBy","Created By property"
"P:AlibreScript.API.Part.CreatedDate","Created Date property"
"P:AlibreScript.API.Part.CreatingApplication","Creating Application property"
"P:AlibreScript.API.Part.DocumentNumber","Document Number property"
"P:AlibreScript.API.Part.EngineeringApprovalDate","Engineering Approval Date property"
"P:AlibreScript.API.Part.EngineeringApprovedBy","Engineering Approved By property"
"P:AlibreScript.API.Part.EstimatedCost","Estimated Cost property"
"P:AlibreScript.API.Part.Keywords","Keywords property"
"P:AlibreScript.API.Part.LastAuthor","Last Author property"
"P:AlibreScript.API.Part.LastUpdateDate","Last Update Date property"
"P:AlibreScript.API.Part.ExtendedMaterialInformation","Material (extended information) property"
"P:AlibreScript.API.Part.ManufacturingApprovedBy","Manufacturing Approved By property"
"P:AlibreScript.API.Part.ManufacturingApprovedDate","Product property"
"P:AlibreScript.API.Part.ModifiedInformation","Modified Information property"
"P:AlibreScript.API.Part.Product","Product property"
"P:AlibreScript.API.Part.ReceivedFrom","Received From property"
"P:AlibreScript.API.Part.Revision","Revision property"
"P:AlibreScript.API.Part.StockSize","Stock Size property"
"P:AlibreScript.API.Part.Supplier","Supplier property"
"P:AlibreScript.API.Part.Title","Title property"
"P:AlibreScript.API.Part.Vendor","Vendor property"
"P:AlibreScript.API.Part.WebLink","Web Link property"
"P:AlibreScript.API.Part.FileName","Path and filename of the part"
"P:AlibreScript.API.Part.XYPlane","Gets the XY-plane (language independent)"
"P:AlibreScript.API.Part.YZPlane","Gets the YZ-plane (language independent)"
"P:AlibreScript.API.Part.ZXPlane","Gets the ZX-plane (language independent)"
"P:AlibreScript.API.Part.XAxis","Gets the X-axis (language independent)"
"P:AlibreScript.API.Part.YAxis","Gets the Y-axis (language independent)"
"P:AlibreScript.API.Part.ZAxis","Gets the Z-axis (language independent)"
"P:AlibreScript.API.Part.Origin","Gets the origin (language independent)"
"P:AlibreScript.API.Part.Selections","Gets the currently selected items as [ItemA, ItemB, ...] Supports faces, edges, vertices, planes, axes and points"
"M:AlibreScript.API.AssembledSubAssembly.GetSelectionAssembly","The assembly that the edge was selected on Only valid when a selection has been made"
"M:AlibreScript.API.AssembledSubAssembly.GetMappedOccurrence(AlibreX.IADAssemblySession)","Gets the occurrence of the sub-assembly mapped into the occurrence structure of a specific assembly This occurrence can be used to create constraints in the specific sub-assembly using the part"
"M:AlibreScript.API.AssembledSubAssembly.GetConfiguration(System.String)","Gets a configuration with a specific name"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String,System.Double,System.Double,System.Double)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddMateConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable)","Adds a simple mate constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddMateConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a simple mate constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddMateConstraint2(System.Double,System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String,AlibreScript.API.Assembly.ConstraintBoundsType)","Adds a mate constraint between two planes/faces/axes/edges/points Uses bounds type"
"M:AlibreScript.API.Assembly.AddFastenerConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a fastner constraint"
"M:AlibreScript.API.Assembly.AddFastenerConstraint2(System.Double,System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String,AlibreScript.API.Assembly.ConstraintBoundsType)","Adds a fastner constraint"
"M:AlibreScript.API.Assembly.AddAlignConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable)","Adds a simple alignment constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddAlignConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a simple alignment constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddAlignConstraint2(System.Double,System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String,AlibreScript.API.Assembly.ConstraintBoundsType)","Adds an alignment constraint between two planes/faces/axes/edges/points Uses bounds type"
"M:AlibreScript.API.Assembly.AddOrientConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable)","Adds an orient constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddOrientConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds an orient constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddAngleConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable)","Adds an angle constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddAngleConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a simple angle constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddAngleConstraint2(System.Double,System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String,AlibreScript.API.Assembly.ConstraintBoundsType)","Adds an angle constraint between two planes/faces/axes/edges/points Uses bounds type"
"M:AlibreScript.API.Assembly.AddGearConstraint(System.Double,System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a gear constraint using ratio RatioA:RatioB"
"M:AlibreScript.API.Assembly.AddRackAndPinionConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a rack and pinion constraint"
"M:AlibreScript.API.Assembly.AddScrewConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.String)","Adds a screw constraint"
"M:AlibreScript.API.Assembly.AddTangentConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean)","Adds a tangent constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.AddTangentConstraint(System.Double,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,AlibreScript.API.IAssembled,AlibreScript.API.IConstrainable,System.Boolean,System.Boolean,System.String)","Adds a tangent constraint between two planes/faces/axes/edges/points"
"M:AlibreScript.API.Assembly.CreateUniqueName(System.String)","Creates a unique name that can be used to safely add a part or subassembly to the assembly if the names used in the assembly are not known in advance"
"M:AlibreScript.API.Assembly.ExportSTL(System.String)","Exports the assembly as an STL file"
"M:AlibreScript.API.Assembly.ExportSTEP203(System.String)","Exports the assembly as a STEP 203 file"
"M:AlibreScript.API.Assembly.ExportSTEP214(System.String)","Exports the assembly as a STEP 214 file"
"M:AlibreScript.API.Assembly.ExportIGES(System.String)","Exports the assembly as a IGES file"
"M:AlibreScript.API.Assembly.ExportSAT(System.String,System.Int32,System.Boolean)","Exports the assembly as a SAT file"
"M:AlibreScript.API.Assembly.ExportBIP(System.String)","Exports a keyshot file"
"M:AlibreScript.API.Assembly.SetUserData(System.String,IronPython.Runtime.PythonDictionary)","Sets user data"
"M:AlibreScript.API.Assembly.GetUserData(System.String)","Gets user data"
"M:AlibreScript.API.Assembly.PauseUpdating","Pauses updating the assembly user interface"
"M:AlibreScript.API.Assembly.ResumeUpdating","Resumes updating the assembly user interface"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IPoint,System.Double,System.Double,System.Double)","Add a point at an offset to a point or a vertex"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPoint,System.Double)","Add a point between two points/vertices"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IAxis)","Add a point at the intersection or two axes or edges"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IPlane,AlibreScript.API.IPlane,AlibreScript.API.IPlane)","Add a point at the intersection of three planes or faces"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IPlane)","Add a point at the the intersection of a axis or edge and a plane or face"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPlane,System.Double,System.Double)","Add a point by projecting a point or vertex onto a plane or face"
"M:AlibreScript.API.Assembly.AddPoint(System.String,AlibreScript.API.Edge,System.Double)","Add a point on an edge"
"M:AlibreScript.API.Assembly.AddPointFromCircularEdge(System.String,AlibreScript.API.Edge)","Adds a point at the center of a circular edge"
"M:AlibreScript.API.Assembly.AddPointFromToroidalFace(System.String,AlibreScript.API.Face)","Adds a point at the center of a toroidal face"
"M:AlibreScript.API.Assembly.GetPlane(System.String)","Gets a plane using the name of the plane"
